customer_message,suggested_intent,support_reply,gold_intent,annotation_note
I am trying to purchase something on the app store but i kept receiving notifications saying my purchase is declined ?,purchase_or_billing,@195163 We can help. Take a look at the steps found here and let us know if that helps: https://t.co/U96y4MTG7k,purchase_or_billing,
I got a crazy security bug issue with iOS 11.1,ios_or_software_update,@118835 We'd like to help. Let's take this to DM and we'll explore ways to provide you assistance. https://t.co/GDrqU22YpT,ios_or_software_update,
"Back from an Apple dealer, phone issue was not fixed. They said it’s fine. Ppl cant hear me in calls, voice drops, and FaceTime ... No voice and screen freezes. Can use husbands phone and it works just fine in both cases. Has been since I bought it end of July.",device_or_hardware,@626765 We want to help with your iPhone. Let's take a look at this further for you in DM. https://t.co/GDrqU22YpT,device_or_hardware,
Text replacement doesn’t work I️ have already tried that.,order_or_repair,@498055 DM us and we'll continue working there. https://t.co/GDrqU22YpT,order_or_repair,
can’t download and open epub files to ibooks. whenever i download an epub file it appears for a second and it disappears.,app_or_media_service,"@384804 Hi. We received your DM, please look there for our response.",app_or_media_service,
My bluetooth works with everything except for when im on a call. I don’t know why,connectivity_or_network,"@235357 OK, what's happening when you try to connect to a Bluetooth device while you're on a phone call? In Settings &gt; Bluetooth, is it not finding the devices at all? Finding them, but giving an error when trying to connect?",connectivity_or_network,
can you help me? I've got an issue with adding iCloud in Outlook mobile app.,account_or_icloud,@536543 We’d like to understand more about this situation. Please DM us some details and we’ll take it from there. https://t.co/GDrqU22YpT,account_or_icloud,
Not sure why it’s necessary to go into DM. What do you need to know that can’t be publicly known? I tap and get the email page,support_contact_or_dm,@278205 You'll want to be sure to press the box with the arrow coming out of it in order to share it to Twitter. Adding people will allow them to collaborate on the note. Check out this article for more information: https://t.co/dgp0Ep5aOP,support_contact_or_dm,
respond to dm,support_contact_or_dm,"@480277 We've received your DM, and will continue working from there. Be on the lookout for our response.",support_contact_or_dm,
"my 6 is now shutting down when battery hits 75% or so. When I plug it back in, it shows 0 batt then jumps to 80% immediately.",battery_or_charging,@459896 Send us a DM and let us know what version of iOS you're running. We'll go from there. https://t.co/GDrqU22YpT,battery_or_charging,
